Trial_type,Response,Points_earned,EV,PE,choiceprob,pred_choice,pred_reward,run_id,seed,param_beta,param_lossave,param_alpha,param_exp
2.0,1,495,0.5,0.47500000000000003,0.5012499973958399,1,10.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.9750000000000001,,0.5024374806906132,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,12.642121875,4.36789390625,0.5315632780015503,1,100.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.9750000000000001,,0.5024374806906132,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,-1.324540546875,-0.18377297265625,0.49834433036790077,1,-5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,-1.50831351953125,-0.1745843240234375,0.4981146170365451,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,0.9750000000000001,,0.5024374806906132,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,2,0,0.9750000000000001,,0.5024374806906132,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,17.01001578125,,0.5424228000796709,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,-1.6828978435546875,-0.16585510782226565,0.49789639010747644,1,-5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,-1.8487529513769532,-0.15756235243115235,0.4976890752659235,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,0.48750000000000004,,0.5012187475863095,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,17.01001578125,-1.3505007890625,0.5424228000796709,1,-10.0,0,42,0.01,0.5,0.05,1.0
4.0,0,0,0.48750000000000004,,0.5012187475863095,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,-2.0063153038081056,,0.4974921269013386,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,15.6595149921875,,0.5390689824919708,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,15.6595149921875,,0.5390689824919708,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,15.6595149921875,4.217024250390625,0.5390689824919708,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,19.876539242578126,4.006173037871093,0.5495283927134269,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,23.88271228044922,-1.694135614022461,0.5594245919083732,1,-10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,-2.0063153038081056,24.850315765190405,0.4974921269013386,1,495.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,0.48750000000000004,0.22562500000000002,0.5012187475863095,1,5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,22.18857666642676,,0.555244969782626,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,22.8440004613823,,0.5568629340533834,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,22.18857666642676,,0.555244969782626,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,0.713125,,0.5017828049446682,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,2,0,22.8440004613823,-1.3922000230691152,0.5568629340533834,1,-5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,22.18857666642676,3.8905711666786624,0.555244969782626,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.07914783310542,-1.8039573916552714,0.5648308447447354,1,-10.0,0,42,0.01,0.5,0.05,1.0
4.0,0,0,0.713125,0.21434375000000003,0.5017828049446682,1,5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,21.451800438313185,-1.3225900219156594,0.5534247830320881,1,-5.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,20.129210416397527,,0.55015379387031,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,0.9274687500000001,0.2036265625,0.5023186552541633,1,5.0,0,42,0.01,0.5,0.05,1.0
1.0,1,-495,24.27519044145015,-1.7137595220725075,0.5603917010008524,1,-10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,20.129210416397527,23.743539479180125,0.55015379387031,1,495.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,1.1310953125,0.193445234375,0.5028277081337841,1,5.0,0,42,0.01,0.5,0.05,1.0
1.0,2,0,22.561430919377642,,0.5561655351907697,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.9750000000000001,,0.5024374806906132,2,0.0,0,42,0.01,0.5,0.05,1.0
3.0,1,-10,43.872749895577655,-2.443637494778883,0.6079557774851019,1,-5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,1.324540546875,,0.5033113029558685,2,0.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.9750000000000001,,0.5024374806906132,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,22.561430919377642,3.871928454031118,0.5561655351907697,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.43335937340876,-1.8216679686704382,0.5657012851517581,1,-10.0,0,42,0.01,0.5,0.05,1.0
4.0,2,0,1.324540546875,0.18377297265625,0.5033113029558685,1,5.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,1.50831351953125,0.1745843240234375,0.5037707123123744,1,5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,0.9750000000000001,0.45125000000000004,0.5024374806906132,1,10.0,0,42,0.01,0.5,0.05,1.0
4.0,1,-100,1.6828978435546875,,0.504207145315637,2,0.0,0,42,0.01,0.5,0.05,1.0
4.0,1,10,1.6828978435546875,,0.504207145315637,2,0.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,24.61169140473832,-1.7305845702369163,0.5612205114769628,1,-10.0,0,42,0.01,0.5,0.05,1.0
3.0,1,100,41.42911240079877,-2.3214556200399388,0.6021163621728934,1,-5.0,0,42,0.01,0.5,0.05,1.0
2.0,1,-5,1.42625,-5.0713125,0.503565564558268,1,-100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,22.881106834501402,3.8559446582749306,0.5569544982581758,1,100.0,0,42,0.01,0.5,0.05,1.0
1.0,1,5,26.73705149277633,3.6631474253611835,0.5664472566806129,1,100.0,0,42,0.01,0.5,0.05,1.0
